title,genres,year,rating
10 Cloverfield Lane,Thriller,2016.0,3.73
10 Condemned,(no genres listed),1931.0,3.5
10 Days Without Mom,Children|Comedy,2017.0,2.75
10 Days Without Mum,Children|Comedy,2020.0,3.0
10 Days in a Madhouse,(no genres listed),2015.0,3.25
10 Days of a Good Man,Crime|Mystery|Thriller,2023.0,3.17
10 Days with Santa Claus,Comedy,2020.0,2.25
10 Items or Less,Comedy|Drama|Romance,2006.0,3.32
10 Kalpanakal,Crime|Mystery|Thriller,2016.0,4.0
10 Magnificent Killers,Action,1977.0,2.5
10 Minutes,(no genres listed),2014.0,1.75
10 Minutes Gone,Action|Crime|Mystery|Thriller,2019.0,2.2
10 Mountains 10 Years,Documentary,2010.0,2.5
10 Questions for the Dalai Lama,Documentary,2006.0,3.56
10 Rillington Place,Crime|Drama|Thriller,1971.0,3.52
10 Rules for Sleeping Around,Comedy|Romance,2013.0,2.12
10 Things I Hate About You,Comedy|Romance,1999.0,3.56
10 Things We Should Do Before We Break Up,Comedy|Romance,2020.0,2.06
10 Years,Comedy|Drama|Romance,2011.0,2.91
10 jours en or,Comedy|Drama,2012.0,3.0
10 minutes (10 minuta),Drama|War,2002.0,3.0
10 to 11,Drama,2009.0,3.0
10 to Midnight,Action|Adventure|Thriller,1983.0,2.76
10%: What Makes a Hero?,Adventure|Documentary,2013.0,1.5
10+10,(no genres listed),2011.0,2.25
"10,000 BC",Adventure|Romance|Thriller,2008.0,2.53
"10,000 Black Men Named George",(no genres listed),2002.0,2.5
"10,000 Days",Sci-Fi,2014.0,3.5
"10,000 Dollars for a Massacre",Western,1967.0,3.17
10.0 Earthquake,Action|Adventure,2014.0,2.5
10/31 Part 2,Horror,2019.0,1.5
100 Bloody Acres,Comedy|Horror,2012.0,2.76
100 Days,Horror|Romance|Thriller,1991.0,1.5
100 Days Before the Command,Drama,1991.0,2.6
100 Days Of Love,Romance,2015.0,3.33
100 Days With Mr. Arrogant,Comedy|Romance,2004.0,2.84
100 Days to Live,Crime|Thriller,2019.0,4.25
100 Degrees Below Zero,Action|Sci-Fi,2013.0,2.75
100 Dinge,Comedy,2018.0,3.44
100 Feet,Horror|Thriller,2008.0,2.85
100 Ghost Street: The Return of Richard Speck,Horror,2012.0,2.11
100 Girls,Comedy|Romance,2000.0,3.03
100 Horsemen,Action|Adventure|Comedy,1964.0,3.5
100 Men and a Girl (One Hundred Men and a Girl),Comedy,1937.0,2.86
100 Miles To 40,Documentary,2010.0,4.5
100 Million BC,Sci-Fi,2008.0,1.75
100 Poems for Stella,Romance,2017.0,2.75
100 Rifles,Adventure|War|Western,1969.0,2.74
100 Streets,Drama,2016.0,2.82
100 Tears,Horror,2007.0,1.38
100 Vaginas,Documentary,2019.0,2.0
100 Women,Comedy|Romance,2002.0,3.5
100 Yards,Drama,2019.0,2.0
100 Years at the Movies,Documentary,1994.0,3.64
100 Years of Evil,Adventure|Comedy|Documentary,2010.0,4.0
100 Years of the RAF,War,2018.0,3.5
100 Yen Love,Comedy|Drama,2014.0,3.44
100 Yen: The Japanese Arcade Experience,Documentary,2012.0,4.5
100 días con la Tata,Documentary,2021.0,3.5
100 grams for Bravery,Comedy,1976.0,3.0
100 metros,Drama,2016.0,3.54
100% Coco,Children|Comedy|Drama,2017.0,2.0
100% Love,Drama|Romance,2011.0,3.62
100% Service,Comedy,1931.0,2.5
100% Wolf,Animation|Children,2020.0,2.7
"1000 Eyes of Dr. Mabuse, The (Die 1000 Augen des Dr. Mabuse)",Crime|Horror|Mystery|Thriller,1960.0,3.47
1000 Journals,(no genres listed),2007.0,2.0
1000 Mabrouk,Comedy|Drama,2009.0,4.5
1000 Miles From Christmas,Comedy|Romance,2021.0,2.92
1000 Rupee Note,Drama,2016.0,3.5
1000 To 1,Drama,2014.0,3.75
1001 Grams,Drama,2014.0,3.45
1001 Nights,Adventure|Comedy|Fantasy,1968.0,2.5
1001 Nights,Adventure|Comedy|Fantasy,1990.0,2.71
101 Dalmatians,Adventure|Children|Comedy,1996.0,3.05
101 Dalmatians (One Hundred and One Dalmatians),Adventure|Animation|Children,1961.0,3.43
101 Dalmatians II: Patch's London Adventure,Animation|Children,2003.0,2.87
101 Rent Boys,Documentary,2000.0,3.8
101 Reykjavik (101 Reykjavík),Comedy|Drama|Romance,2000.0,3.55
102 Dalmatians,Children|Comedy,2000.0,2.38
102 Minutes That Changed America,Documentary,2008.0,3.83
102 Not Out,Children|Comedy|Drama,2018.0,3.0
1066:  A Year to Conquer England,Documentary|Drama,2017.0,2.83
10E,(no genres listed),2019.0,0.5
10th & Wolf,Crime|Drama|Thriller,2006.0,3.02
"10th Judicial Court: Judicial Hearings, The (10e chambre - Instants d'audience)",Documentary,2004.0,3.06
"10th Victim, The (La decima vittima)",Action|Comedy|Sci-Fi|Thriller,1965.0,3.32
10x10,Thriller,2018.0,2.62
10½,Drama,2010.0,3.0
11 Blocks,Action,2015.0,2.5
11 Days 11 Nights Part 3,Drama,1989.0,3.0
11 Days 11 Nights: Part 1 - Fantasy Becomes Reality,Drama|Romance,1987.0,4.0
11 Flowers (Wo 11),Drama,2011.0,3.85
11 Harrowhouse,Comedy|Crime,1974.0,3.24
11 Minutes,(no genres listed),2015.0,2.85
11 Minutes Ago,Drama|Romance|Sci-Fi,2007.0,3.08
11 September Vragen,Documentary,2016.0,5.0
11 x 14,Drama,1977.0,3.0
"11'09""01 - September 11",Drama,2002.0,3.36
11-11-11 (11-11-11: The Prophecy),Horror|Thriller,2011.0,2.4
11.22.63,Drama|Thriller,2016.0,3.67
11.6,Crime|Drama,2013.0,3.12
11/11/11,Horror|Thriller,2011.0,2.17
11/8/16,Documentary,2017.0,3.0
119,Comedy|Drama,1994.0,3.5
11:00 AM,Fantasy|Sci-Fi,2013.0,2.27
11:14,Comedy|Crime|Drama|Mystery|Thriller,2003.0,3.55
11:55,Crime|Drama,2016.0,3.11
11:59,Mystery|Thriller,2005.0,3.8
11M,Documentary,2022.0,3.5
"11th Hour, The",Documentary,2007.0,3.3
12,Crime|Drama|Thriller|War,2007.0,3.51
12 Angry Men,Crime|Drama,1997.0,4.01
12 Angry Men,Drama,1957.0,4.27
12 Chairs,Adventure|Comedy,1971.0,3.9
12 Chairs,Adventure|Comedy,1976.0,3.85
12 Citizens,Crime|Drama,2014.0,3.75
12 Dates of Christmas,Children|Comedy|Fantasy|Romance,2011.0,3.09
12 Days,Documentary,2017.0,3.21
12 Days of Christmas Eve,Children|Comedy|Drama|Fantasy,2004.0,2.36
12 Dicembre,Documentary,1972.0,0.5
"12 Dogs of Christmas, The",Children,2005.0,2.69
12 Dogs of Christmas: Great Puppy Rescue,Children|Comedy,2012.0,3.0
12 Feet Deep,Thriller,2016.0,2.6
12 Gifts of Christmas,Children,2015.0,2.67
12 Hour Shift,Thriller,2020.0,2.3
12 Jahre,(no genres listed),2010.0,2.67
12 Men of Christmas,Comedy|Romance,2009.0,2.45
12 Mighty Orphans,Drama,2021.0,3.43
12 Months,Comedy|Romance,2013.0,2.0
12 O'Clock Boys,Documentary,2013.0,3.31
12 Paces without a Head,Comedy,2009.0,0.5
12 Pups of Christmas,Romance,2019.0,3.67
12 Rounds,Action|Thriller,2009.0,2.79
12 Rounds 3: Lockdown,Action,2015.0,2.64
12 Storeys (Shier lou),Comedy|Drama,1997.0,3.12
12 Strong,Drama|War,2018.0,3.3
12 Suicidal Teens,Drama|Mystery,2019.0,3.5
12 Wishes of Christmas,Comedy|Fantasy,2011.0,3.62
12 Years a Slave,Drama,2013.0,3.89
12 registi per 12 città,(no genres listed),1989.0,2.67
12 to the Moon,Sci-Fi,1960.0,2.1
120,Drama|War,2008.0,2.56
120 Beats Per Minute,(no genres listed),2017.0,3.53
120 Seconds to Get Elected,Comedy,2006.0,1.83
1210,Drama,2012.0,2.75
121: Overcoming Drug Addiction by Faith,Documentary,2021.0,1.0
122,Horror|Thriller,2019.0,2.25
1234,(no genres listed),2008.0,2.25
125 Years Memory,Drama,2015.0,3.5
"125, rue Montmartre",Crime,1959.0,3.5
127 Hours,Adventure|Drama|Thriller,2010.0,3.6
12:01,Comedy|Romance|Sci-Fi|Thriller,1993.0,3.27
12:08 East of Bucharest (A fost sau n-a fost?),Comedy|Drama,2006.0,3.52
12th & Delaware,Documentary,2010.0,3.58
12th Man,Crime|Mystery|Thriller,2022.0,3.25
13,(no genres listed),2014.0,2.75
13,Thriller,2010.0,3.05
13 Assassins (Jûsan-nin no shikaku),Action,2010.0,3.72
13 Beloved (13 game sayawng),Horror|Mystery|Thriller,2006.0,3.28
13 Cameras,Drama|Horror,2015.0,2.97
13 Curses,Horror|Thriller,2002.0,2.75
13 Demons,Thriller,2016.0,2.25
13 Eerie,Horror|Sci-Fi,2013.0,2.0
13 Fanboy,Horror,2021.0,0.83
13 Fighting Men,Western,1960.0,0.5
"13 Frightened Girls! (Candy Web, The)",Adventure|Comedy|Thriller,1963.0,2.67
13 Ghosts,Horror,1960.0,2.85
13 Going on 30,Comedy|Fantasy|Romance,2004.0,3.14
13 Graves,Horror,2019.0,3.1
13 Hours,Drama,2016.0,3.76
13 Hours in a Warehouse,Horror|Thriller,2008.0,2.83
13 Lakes,Documentary,2004.0,3.1
13 Minutes,Drama,2015.0,3.38
13 Minutes,Drama|Thriller,2021.0,2.68
13 Months of Sunshine,(no genres listed),2007.0,3.0
13 Moons,Comedy|Drama,2002.0,2.69
13 Rue Madeleine,Thriller|War,1947.0,3.42
13 Semester,Comedy|Drama|Romance,2009.0,3.5
13 Slays Till X-mas,Horror,2020.0,1.0
13 Steps Down,Crime|Drama,2012.0,2.5
13 Tzameti,Film-Noir|Thriller,2005.0,3.7
13 Washington Square,Comedy|Crime,1928.0,2.5
13 West Street,Crime|Drama,1962.0,3.38
13 dies de octubre,Drama,2015.0,3.5
137 Shots,Crime|Documentary,2021.0,2.5
13: The Musical,Children|Comedy|Drama,2022.0,3.25
13B,Horror|Mystery|Thriller,2009.0,3.02
13th,Documentary,2016.0,3.89
13th Child,Horror|Thriller,2002.0,1.0
"13th Letter, The",Film-Noir,1951.0,2.62
"13th Warrior, The",Action|Adventure|Fantasy,1999.0,3.14
14 Blades (Jin yi wei),Action|Drama,2010.0,3.12
14 Cameras,Horror|Thriller,2018.0,2.88
14 Carrot Rabbit,Animation,1952.0,3.17
"14 Days, 12 Nights",Drama,2020.0,2.5
14 Going on 30,(no genres listed),1988.0,3.5
14 Hours,Drama|Thriller,2005.0,2.25
14 Hours (Fourteen Hours),Drama|Film-Noir|Thriller,1951.0,3.36
14 Minutes from Earth,Documentary,2016.0,3.0
14 Peaks: Nothing Is Impossible,Documentary,2021.0,3.83
14 Phere,Comedy|Drama|Romance,2021.0,4.0
14+,Drama|Romance,2015.0,3.04
1400,Drama,2015.0,1.5
1408,Drama|Horror|Thriller,2007.0,3.39
1409. Afera na zamku Bartenstein,(no genres listed),2005.0,4.5
1421: The Year China Discovered America?,Documentary,2004.0,2.0
1492: Conquest of Paradise,Adventure|Drama,1992.0,3.08
15,Action|Drama,2005.0,2.17
15,Comedy|Crime|Drama,2003.0,2.78
15 Février 1839,Drama,2001.0,4.75
15 Killings,Crime|Drama|Thriller,2020.0,3.0
15 Minutes,Thriller,2001.0,2.97
15 Minutes of Shame,Documentary,2021.0,3.67
15 Minutes of War,Action|Drama|War,2019.0,3.14
15 Park Avenue,Drama|Romance,2006.0,4.0
15 Things You Didn't Know About Bigfoot,Comedy|Crime|Horror|Mystery,2019.0,2.62
15 Till Midnight,Drama|Mystery|Sci-Fi,2010.0,1.0
15 Years,Drama,2020.0,4.25
15 Years and One Day,Drama,2013.0,3.25
150 Milligrams,Drama,2016.0,3.25
16 Acres,Documentary,2012.0,3.38
16 Ans ou Presque,Comedy,2013.0,4.0
16 Blocks,Crime|Thriller,2006.0,3.29
16 Shots,Documentary,2019.0,2.78
16 Sunrises,Documentary,2018.0,3.75
16 Wishes,Children|Drama|Fantasy,2010.0,2.81
16 to Life,Comedy|Drama,2009.0,2.88
16-love,Children|Comedy|Drama|Romance,2012.0,2.96
17 Again,Comedy|Drama,2009.0,3.07
17 Blocks,Documentary,2019.0,3.75
17 Miracles,Adventure|Drama,2011.0,3.5
170 Hz,Drama,2012.0,3.17
1776,Children|Drama|Musical,1972.0,3.48
1778 Stories of Me and My Wife,Drama,2011.0,2.5
17th Precinct,Crime|Fantasy,2011.0,2.5
18 Again!,Comedy|Fantasy,1988.0,2.52
18 Bronze Girls of Shaolin,Action|Adventure|Comedy,1983.0,3.0
18 Bronzemen,Action,1976.0,3.0
18 Days,Drama,2011.0,3.67
18 Kilohertz,Crime|Drama|Mystery,2020.0,3.0
18 Meals,Comedy|Drama,2011.0,3.0
18 Pages,Romance,2022.0,2.0
18 Weapons of Kung Fu,Action|Drama,1977.0,1.5
18 Year Old Virgin,Comedy,2009.0,1.86
18 Years Later (Diciotto anni dopo),Comedy|Drama,2010.0,3.75
18 Years Old and Rising (J'aime regarder les filles),Comedy,2011.0,3.12
18 regali,Drama,2020.0,2.94
1809-1810: mientras llega el día,Drama,2004.0,2.5
180° South (180 Degrees South) (180° South: Conquerors of the Useless),Documentary|Drama,2010.0,3.63
1812,(no genres listed),1912.0,1.5
1812. Ballad of the Uhlans,Adventure,2012.0,2.0
186 Dollars to Freedom,Action|Drama,2012.0,3.75
187 (One Eight Seven),Drama|Thriller,1997.0,3.03
1898. Los últimos de Filipinas,Drama|War,2016.0,3.33
18½,Comedy|Drama|Thriller,2022.0,3.0
1900 (Novecento),Drama|War,1976.0,3.67
1911 (Xinhai geming),Action|Adventure|Drama|War,2011.0,2.8
1915,Drama,2015.0,4.0
1917,Drama|War,2019.0,4.05
1918,Drama,1985.0,2.75
1920,Drama|Horror|Thriller,2008.0,3.28
1920: Evil Returns,Horror|Thriller,2012.0,2.0
1921,Horror|Thriller,2018.0,4.0
1922,Crime|Drama|Mystery,2017.0,3.03
1939,Drama|War,1989.0,4.0
1941,(no genres listed),1941.0,1.5
1941,Comedy|War,1979.0,2.82
1942: A Love Story,Action|Drama|Romance,1994.0,2.25
1944,Drama|War,2015.0,3.14
1945,Drama,2017.0,4.1
1945: The Savage Peace,Documentary,2015.0,3.75
1959: The Year that Changed Jazz,Documentary,2009.0,4.5
1960,Documentary,2010.0,3.5
1964: Brazil Between Weapons and Books,Documentary,2019.0,4.0
"1966-1988: Kieslowski, Polish Filmmaker",Documentary,2005.0,3.5
1968,(no genres listed),2018.0,3.0
1969,Drama|War,1988.0,2.77
1971,Documentary,2014.0,3.17
1972 Yellow House,Horror,2013.0,1.0
1974: La posesión de Altair,Horror|Mystery,2016.0,2.75
1976,Drama,2022.0,2.5
1981,Comedy|Drama|Romance,2009.0,3.71
1982,Drama,2013.0,3.75
1984,Drama|Sci-Fi,1956.0,3.73
1984 (Nineteen Eighty-Four),Drama|Sci-Fi,1984.0,3.64
1984 Revolution,Documentary,2011.0,5.0
1985,Drama,2018.0,3.42
1987,Comedy|Drama|Romance,2014.0,3.79
1987: When the Day Comes,Drama|Thriller,2017.0,4.07
1989,(no genres listed),2014.0,3.5
1990: The Bronx Warriors (1990: I guerrieri del Bronx),Action|Sci-Fi,1982.0,2.65
1991,Comedy|Drama,2018.0,3.94
1991: The Year Punk Broke,Documentary,1992.0,3.38
"19th Wife, The",Drama,2010.0,2.96
1:54,Drama,2016.0,3.42
1BR,Drama|Horror|Thriller,2019.0,3.11
1Up,Comedy,2022.0,2.5
1st Bite,Comedy|Drama|Fantasy|Horror|Romance,2006.0,1.5
1st Rank Raju,(no genres listed),2019.0,3.5
1st Strike,Drama,2016.0,4.0
1st Summoning,Horror,2019.0,1.75
1st to Die,Action|Thriller,2003.0,2.5
1½ Knights - In Search of the Ravishing Princess Herzelinde,Comedy,2008.0,1.9
2,Drama,2007.0,5.0
2 Autumns 3 Winters,Comedy|Drama,2013.0,3.14
2 Become 1 (Tin sun yut dui),Comedy|Drama|Romance,2006.0,4.0
2 Bedroom 1 Bath,Horror,2014.0,2.5
2 Cool 2 Be 4gotten,Drama,2016.0,3.2
2 Countries,Comedy|Romance,2015.0,2.0
2 Days in New York,Comedy,2012.0,3.07
2 Days in Paris,Comedy|Drama|Romance,2007.0,3.4
2 Days in the Valley,Crime|Film-Noir,1996.0,3.29
"2 Fast 2 Furious (Fast and the Furious 2, The)",Action|Crime|Thriller,2003.0,2.64
2 Guns,Action|Comedy|Crime,2013.0,3.33
2 Hearts,Drama,2020.0,2.41
2 Hours,Horror,2012.0,2.33
2 Jennifer,Action|Horror,2016.0,3.33
2 Lava 2 Lantula!,Horror|Sci-Fi|Thriller,2016.0,1.88
2 Minutes of Fame,Comedy,2020.0,3.0
2 Nights Till Morning,Drama|Romance,2015.0,3.14
2 Seconds,Drama|Romance,1998.0,3.3
2 States,Comedy|Drama|Romance,2014.0,3.38
2 Weeks in Lagos,Comedy|Drama|Romance,2021.0,1.25
2 Years of Love,Comedy|Romance,2016.0,5.0
2 Young,Drama|Romance,2005.0,4.0
2 in the AM PM,Animation|Comedy,2006.0,2.33
2 ou 3 choses que je sais d'elle (2 or 3 Things I Know About Her),Drama,1967.0,3.35
2 x 50 Years of French Cinema,Documentary,1995.0,3.17
"2,215",Documentary,2018.0,3.5
2.0,Action|Sci-Fi,2018.0,2.86
20 30 40,Drama|Romance,2004.0,3.5
20 Centimeters,Comedy|Drama,2005.0,2.5
20 Cigarettes,Drama,2010.0,3.0
20 Dates,Comedy|Romance,1998.0,2.79
20 Feet from Stardom (Twenty Feet from Stardom),Documentary,2013.0,3.63
20 Fingers,Drama,2004.0,3.0
20 Million Miles to Earth,Sci-Fi,1957.0,3.16
20 Seconds of Joy,Documentary,2007.0,4.25
20 Years After,Drama|Fantasy|Sci-Fi,2008.0,1.83
20 Years Of Madness,Comedy|Documentary,2016.0,2.5
"20,000 Days on Earth",Documentary|Drama|Musical,2014.0,3.52
"20,000 Leagues Under the Sea",Action|Adventure|Sci-Fi,1916.0,3.16
"20,000 Leagues Under the Sea",Adventure|Drama|Sci-Fi,1954.0,3.51
"20,000 Species of Bees",Drama,2023.0,3.5
"20,000 Years in Sing Sing",Crime|Drama,1932.0,2.93
20.000 kisses,Comedy|Romance,2013.0,3.5
200 Cigarettes,Comedy|Drama,1999.0,2.92
200 Degrees,Thriller,2017.0,2.5
200 Meters,Children|Drama,2021.0,3.5
200 Motels,Comedy|Musical,1971.0,2.84
200 Pounds Beauty,Children|Comedy,2017.0,4.0
200 Pounds Beauty,Comedy|Drama|Romance,2006.0,2.96
2000 AD,Action|Thriller,2000.0,3.19
2000 Mules,Crime|Documentary,2022.0,2.79
2001 Maniacs,Comedy|Horror,2005.0,2.68
2001: A Space Odyssey,Adventure|Drama|Sci-Fi,1968.0,4.0
2001: A Space Travesty,Comedy|Sci-Fi,2000.0,1.99
2009: Lost Memories,Action|Sci-Fi|Thriller,2002.0,2.88
2010: Moby Dick,Action|Adventure|Thriller,2010.0,1.95
2010: The Year We Make Contact,Sci-Fi,1984.0,3.39
2012,Action|Drama|Sci-Fi|Thriller,2009.0,2.76
2012 Doomsday,Action|Adventure|Fantasy|Horror|Sci-Fi|Thriller,2008.0,1.15
2012: An Awakening,Action|Documentary|Drama|Horror|Mystery|Sci-Fi|Thriller,2009.0,1.67
2012: Ice Age,Action|Adventure|Sci-Fi,2011.0,2.77
2012: The True Mayan Prophecy,Documentary,2010.0,1.0
2012: Time for Change,Animation|Documentary,2010.0,3.0
"2013 Rock and Roll Hall of Fame Induction Ceremony, The",Documentary|Musical,2013.0,4.5
2016 Oscar Nominated Short Films: Live Action,(no genres listed),2016.0,2.5
2016 World Series Champions: The Chicago Cubs,Documentary,2016.0,1.0
2016: Obama's America,Documentary,2012.0,2.52
2017 Oscar Nominated Short Films - Live Action,(no genres listed),2017.0,3.0
2019: After the Fall of New York,Action|Horror|Sci-Fi,1983.0,2.52
2020,Comedy,2020.0,3.5
2020,Documentary,2020.0,2.75
2020 Texas Gladiators,Action|Sci-Fi,1983.0,1.0
2021 Rock & Roll Hall of Fame Induction Ceremony,(no genres listed),2021.0,4.0
2025 - The World enslaved by a Virus,Adventure|Sci-Fi,2021.0,0.88
2025 Armageddon,Action|Sci-Fi,2022.0,2.2
2033,Adventure|Sci-Fi,2010.0,2.5
2036 Origin Unknown,Sci-Fi,2018.0,2.55
2036: Nexus Dawn,Sci-Fi|Thriller,2017.0,3.38
2037,Children|Drama,2022.0,2.0
2040,Documentary,2019.0,3.36
2046,Drama|Fantasy|Romance|Sci-Fi,2004.0,3.67
